Major Category,Type,Minor Category,Problem Code,Count
GENERAL,NON EMERGENCY,BELL/BUZZER/INTERCOM,BROKEN OR MISSING,35582
NONCONST,EMERGENCY,VERMIN,BEDBUGS,86785
APPLIANCE,EMERGENCY,REFRIGERATOR,LEAKING UNDER UNIT,1554
SAFETY,IMMEDIATE EMERGENCY,SPRINKLER,SPRINKLER MISSING,396
NONCONST,NON EMERGENCY,VERMIN,OTHER,29945
PLUMBING,EMERGENCY,WATER SUPPLY,OTHER,5212
NONCONST,EMERGENCY,VIBRATIONS,OTHER,123
GENERAL,NON EMERGENCY,JANITOR/SUPER,NO JANITOR AVAILABLE,8283
OUTSIDE BUILDING,NON EMERGENCY,PAVEMENT,BROKEN OR CRACKED,1114
GENERAL,EMERGENCY,CERAMIC-TILE,OTHER,1686
OUTSIDE BUILDING,EMERGENCY,ROOFING,LEAKING,4256
APPLIANCE,EMERGENCY,REFRIGERATOR,DISCARDED WITH DOOR INTACT,5
GENERAL,EMERGENCY,STAIRS,INTERMEDIATE LANDING-PLATFORM BROKEN,944
CONSTRUCTION,IMMEDIATE EMERGENCY,ELEVATOR,DOOR OPENS TO SHAFT  'DIRE'-  REF TO DOB,8
PLUMBING,HAZARDOUS,BATHTUB/SHOWER,FAUCET IS BROKEN /MISSING OR LEAKING,5495
PAINT/PLASTER,NON EMERGENCY,WALL,TILE BROKEN OR MISSING,16678
ELECTRIC,EMERGENCY,WIRING,EXPOSED AND SPARKING,6934
PLUMBING,IMMEDIATE EMERGENCY,RADIATOR,LOOSE OR DISCONNECTED IN PUBLIC HALL 'DIRE',243
APPLIANCE,NON EMERGENCY,AIR-CONDITIONER,UNIT IS INOPERATIVE,125
ELEVATOR,NON EMERGENCY,MAINTENANCE,DIRTY OR UNSANITARY,5365
NONCONST,EMERGENCY,CARBON MONOXIDE,OTHER,184
PLUMBING,EMERGENCY,BASIN/SINK,DRAIN PIPE BLOCKED OR BROKEN,65312
GENERAL,EMERGENCY,WINDOWS,MISSING AND SEALED WITH PLYWOOD,750
UNSANITARY CONDITION,EMERGENCY,SEWAGE,RAW SEWAGE ACCUMULATION,8604
CONSTRUCTION,IMMEDIATE EMERGENCY,COLLAPSING BUILDING,SIDEWALK BRIDGE COLLAPSING 'DIRE',1
GENERAL,NON EMERGENCY,DOORS,"BASEMENT/CELLAR, BROKEN OR DEFECTIVE OR MISSING",1873
PAINT/PLASTER,EMERGENCY,WALL,BULGING/HOLE/CRACKED,23211
NONCONST,EMERGENCY,ILLEGAL,ILLEGAL OCCUPANCY GARAGE,157
PLUMBING,NON EMERGENCY,WATER SUPPLY,NO HOT WATER,1142
GENERAL,NON EMERGENCY,SIGNAGE MISSING,CARBON MONOXIDE DETECTOR,174
